models,acc,brier,ece,f1,nll,CalROCauc,CalPRauc,EnsVar,ClsVar,model_scores,ensemble_avg_type,num_params,ensemble_group,ensemble_size,ensemble_type,seed,dataset,data_type,architecture,binning
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--81,0.00105,0.9990001086401838,8.037945574149486e-05,7.684447665925686e-06,6.907809625129699,0.5210185439680443,0.0011557106863701,1.1105959e-07,1.1084671548700076e-10,,no_avg,244403384,78--79--80--81,4,hom,1,imagenet_c_gaussian_noise_3,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--81,0.001,0.9990000253619604,1.590121630579231e-05,2.0094443886265446e-06,6.90776797958374,0.4880178178178178,0.0009393792098323,0.11111394,2.754281525074731e-11,,avg_logits,244403384,78--79--80--81,4,hom,1,imagenet_c_gaussian_noise_3,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--81,0.001,0.9990000253455096,1.5896792523562887e-05,2.0078708537466866e-06,6.907767970285415,0.4878094094094094,0.000941045813451,1.1105959e-07,2.755202142823432e-11,,avg_probs,244403384,78--79--80--81,4,hom,1,imagenet_c_gaussian_noise_3,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--84--85--86--87,0.3368299999999999,0.8011033166771189,0.084543109987732,0.3463165787760637,3.3085757704130696,0.8159964914332538,0.7273473387187146,0.093033366,0.0002967035252368,,no_avg,178196664,84--85--86--87,4,hom,1,imagenet_c_gaussian_noise_3,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--84--85--86--87,0.40696,0.7245830995780631,0.021788578685224,0.4174763572676535,2.792285885101361,0.8253137979753928,0.7899883486072707,917.8681,0.0002858199004549,,avg_logits,178196664,84--85--86--87,4,hom,1,imagenet_c_gaussian_noise_3,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--84--85--86--87,0.4118,0.731328291135876,0.0544355730008333,0.420558846453187,2.827137492149484,0.8154018218752183,0.7754574832745472,0.093033366,0.0002269285178044,,avg_probs,178196664,84--85--86--87,4,hom,1,imagenet_c_gaussian_noise_3,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--85--87,0.33505,0.8048607980344864,0.0875438651110045,0.3461606896071045,3.3184451035031794,0.8118221279787601,0.7190606585619743,0.09390467,0.0002972531074192,,no_avg,178196664,83--84--85--87,4,hom,1,imagenet_c_gaussian_noise_3,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--85--87,0.4059,0.7277028601358664,0.0220231029886007,0.4184938829124252,2.8003798902443022,0.8216488655651808,0.7848838917802717,906.1369,0.0002861027314793,,avg_logits,178196664,83--84--85--87,4,hom,1,imagenet_c_gaussian_noise_3,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--85--87,0.40926,0.7344323011155696,0.0512615797755122,0.4198050650880645,2.8341295838428406,0.8140371563289368,0.7707728679292216,0.09390467,0.0002268246025778,,avg_probs,178196664,83--84--85--87,4,hom,1,imagenet_c_gaussian_noise_3,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--89--90--91--92,0.305805,0.8536798316401641,0.1590594542483054,0.3126119972026322,3.731075935612111,0.8118788569940785,0.6977913737320374,0.113802396,0.0003350092738401,,no_avg,102228152,89--90--91--92,4,hom,1,imagenet_c_gaussian_noise_3,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--89--90--91--92,0.3649,0.7722970805955167,0.0755440561248362,0.3734123181183601,3.1391985162378497,0.8232769932546126,0.7599358499366047,1187.2424,0.000315958954161,,avg_logits,102228152,89--90--91--92,4,hom,1,imagenet_c_gaussian_noise_3,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--89--90--91--92,0.36268,0.76832803868997,0.0219037264540046,0.3701549654299241,3.1634719525888904,0.8264733345132772,0.7579134124827593,0.113802396,0.000249657430686,,avg_probs,102228152,89--90--91--92,4,hom,1,imagenet_c_gaussian_noise_3,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--79--80--81--82,0.001075,0.9990001197623436,9.104198289103803e-05,1.037206585592502e-05,6.9078151397967344,0.4971410038244915,0.0010661509895485,1.10054714e-07,1.1354285914255692e-10,,no_avg,244403384,79--80--81--82,4,hom,1,imagenet_c_gaussian_noise_3,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--79--80--81--82,0.001,0.999000037198677,1.938622538000343e-05,1.999760028796545e-06,6.907773876857758,0.3278910910910911,0.0006671213840357,0.11010471,3.0998804217974296e-11,,avg_logits,244403384,79--80--81--82,4,hom,1,imagenet_c_gaussian_noise_3,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--79--80--81--82,0.001,0.9990000372217482,1.934943813830612e-05,1.9998400127989755e-06,6.907773887758255,0.3294526526526526,0.0006670475285566,1.10054714e-07,3.10018295757164e-11,,avg_probs,244403384,79--80--81--82,4,hom,1,imagenet_c_gaussian_noise_3,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--81--82,0.00102,0.999000126319617,5.04754401743412e-05,8.198850758742541e-06,6.9078184862089165,0.5420932837172523,0.001225656111199,1.1241836e-07,1.1487118721509315e-10,,no_avg,244403384,78--79--81--82,4,hom,1,imagenet_c_gaussian_noise_3,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--81--82,0.00106,0.9990000420009532,4.207862861454483e-05,4.599660203714157e-06,6.907776324071884,0.4756625041411821,0.0009764554308147,0.11248613,3.0547151613768975e-11,,avg_logits,244403384,78--79--81--82,4,hom,1,imagenet_c_gaussian_noise_3,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--81--82,0.00106,0.999000042006156,4.211471736431118e-05,4.623418366925641e-06,6.907776327638626,0.4751971051578824,0.0009764184194212,1.1241836e-07,3.055740729895895e-11,,avg_probs,244403384,78--79--81--82,4,hom,1,imagenet_c_gaussian_noise_3,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--90--92,0.312075,0.8471097643540828,0.15697456434777,0.3186771428256224,3.673800518144108,0.8127533688159572,0.7045758807989678,0.112667695,0.0003393734150449,,no_avg,102228152,88--89--90--92,4,hom,1,imagenet_c_gaussian_noise_3,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--90--92,0.36948,0.766407097713977,0.0772160230064392,0.3782625008197581,3.095333948799452,0.8252312750361288,0.7657033866342975,1164.5726,0.0003216514305677,,avg_logits,102228152,88--89--90--92,4,hom,1,imagenet_c_gaussian_noise_3,ood,,1
