models,acc,brier,ece,f1,nll,CalROCauc,CalPRauc,EnsVar,ClsVar,model_scores,ensemble_avg_type,num_params,ensemble_group,ensemble_size,ensemble_type,seed,dataset,data_type,architecture,binning
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--81,0.001085,0.9990001123430275,7.054820730350913e-05,7.020262222049117e-06,6.907811450755596,0.5551172261454347,0.0012873333435042,1.14393245e-07,1.1415604399267476e-10,,no_avg,244403384,78--79--80--81,4,hom,1,imagenet_c_gaussian_noise_5,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--81,0.001,0.9990000265007252,1.6383059322833994e-05,1.99896054051893e-06,6.907768553915024,0.4924448448448448,0.0009535529650662,0.11444383,2.8351789665981286e-11,,avg_logits,244403384,78--79--80--81,4,hom,1,imagenet_c_gaussian_noise_5,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--81,0.001,0.9990000265484832,1.6379217617213705e-05,1.998680870625387e-06,6.907768578157425,0.4895717717717718,0.0009531483868834,1.14393245e-07,2.8361112069941182e-11,,avg_probs,244403384,78--79--80--81,4,hom,1,imagenet_c_gaussian_noise_5,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--85--86--87,0.054535,1.0498060418170096,0.1812976502209343,0.0593066089061029,6.444405287039347,0.7651778730898002,0.2208877436432849,0.07397196,0.0001204434356623,,no_avg,178196664,83--85--86--87,4,hom,1,imagenet_c_gaussian_noise_5,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--85--86--87,0.06992,1.0015366777208567,0.0988539428146183,0.0803951286431347,5.785740048195312,0.7716963817191878,0.2769127769995974,911.26666,7.374727283604443e-05,,avg_logits,178196664,83--85--86--87,4,hom,1,imagenet_c_gaussian_noise_5,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--85--86--87,0.07892,0.9943270756706452,0.0904963910910487,0.0903602553380881,5.783155249216444,0.7574988107021989,0.2581430708555015,0.07397196,6.496446439996362e-05,,avg_probs,178196664,83--85--86--87,4,hom,1,imagenet_c_gaussian_noise_5,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--91--92,0.051835,1.0789920942105828,0.2282129514515213,0.0501609805325532,6.847958394082853,0.756962695825578,0.2280956038471971,0.10424414,0.0001510647962277,,no_avg,102228152,88--89--91--92,4,hom,1,imagenet_c_gaussian_noise_5,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--91--92,0.06884,1.0081401010011493,0.1252180125337839,0.0687471589835559,5.897955355021414,0.7846325192429284,0.3290166787397248,1533.7733,9.01864332263358e-05,,avg_logits,102228152,88--89--91--92,4,hom,1,imagenet_c_gaussian_noise_5,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--91--92,0.0686,1.0008089857204057,0.1120689851653576,0.0692401397803421,6.0310745907840495,0.7768876721522069,0.3212730989961433,0.10424414,7.288168126251549e-05,,avg_probs,102228152,88--89--91--92,4,hom,1,imagenet_c_gaussian_noise_5,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--86--87,0.04983,1.0557491080097092,0.1891381838359497,0.0538025517534124,6.602916023288612,0.7627195870347492,0.2049234037738501,0.07271944,0.0001213680698128,,no_avg,178196664,83--84--86--87,4,hom,1,imagenet_c_gaussian_noise_5,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--86--87,0.06234,1.009651401275162,0.1117663079294562,0.0712592143516951,5.976156662783684,0.7725213485284781,0.2556008297606399,858.7317,7.552614260930568e-05,,avg_logits,178196664,83--84--86--87,4,hom,1,imagenet_c_gaussian_noise_5,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--86--87,0.0732,1.0012095241105947,0.1001176720004528,0.0839394423876595,5.958514946228983,0.7477468509071699,0.2320772606366513,0.07271944,6.682848470518366e-05,,avg_probs,178196664,83--84--86--87,4,hom,1,imagenet_c_gaussian_noise_5,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--80--81--82,0.001065,0.9990001199606814,5.506280606612561e-05,7.697684207027995e-06,6.907815256104469,0.5454400981454308,0.0012424509093479,1.14403534e-07,1.1556282146496508e-10,,no_avg,244403384,78--80--81--82,4,hom,1,imagenet_c_gaussian_noise_5,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--80--81--82,0.001,0.9990000341483684,1.6672700643539408e-05,1.998680870625387e-06,6.9077723570156095,0.3773707707707707,0.0008061746540021,0.11444758,2.9755697905642364e-11,,avg_logits,244403384,78--80--81--82,4,hom,1,imagenet_c_gaussian_noise_5,ood,,1
