models,acc,brier,ece,f1,nll,CalROCauc,CalPRauc,EnsVar,ClsVar,model_scores,ensemble_avg_type,num_params,ensemble_group,ensemble_size,ensemble_type,seed,dataset,data_type,architecture,binning
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--89--90--91--92,0.61174,0.509978240638387,0.0264972255361079,0.6158890166176265,1.6318031776639017,0.8457512853662453,0.9002577325248072,707.94696,0.0005192164098843,,avg_logits,102228152,89--90--91--92,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--89--90--91--92,0.61274,0.5123545638553616,0.033044595323354,0.6157833300240122,1.640888836819101,0.8425270300531604,0.8975056285474133,0.062110737,0.0004646597953978,,avg_probs,102228152,89--90--91--92,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--79--80--81--82,0.00102,0.9990001090084066,3.2971833813935506e-05,5.738568622231904e-06,6.907809791193008,0.4497368193209782,0.0010656409528968,1.0008405e-07,1.0265440233969692e-10,,no_avg,244403384,79--80--81--82,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--79--80--81--82,0.00084,0.9990000339400624,0.0001761434765905,3.3589833798789003e-06,6.907772264976502,0.4248399608051715,0.0006570774389322,0.10014264,2.7590273815603084e-11,,avg_logits,244403384,79--80--81--82,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--79--80--81--82,0.00084,0.9990000339461832,0.0001761149548366,3.356803197721164e-06,6.90777226761818,0.4291359503888028,0.0006569525474156,1.0008405e-07,2.759137536501033e-11,,avg_probs,244403384,79--80--81--82,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--85--86--87,0.5607249999999999,0.5663602656682712,0.0324900760381296,0.5648472588183083,1.8887709251710023,0.8412305767094472,0.8792487821003576,0.0587623,0.0004762810203828,,no_avg,178196664,83--85--86--87,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--85--86--87,0.60412,0.5172455103488842,0.0180570724102854,0.6081705841443392,1.6629082687942456,0.8461840530261803,0.8996763303855007,666.2139,0.0004842469061259,,avg_logits,178196664,83--85--86--87,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--85--86--87,0.6062,0.522288541880055,0.0514418525682389,0.6095649319675108,1.6725977953084277,0.8387636902171718,0.8946307141519607,0.0587623,0.0004322093154769,,avg_probs,178196664,83--85--86--87,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--91--92,0.5705,0.5591997152021676,0.0516575315182656,0.5744646215347133,1.8614266634354943,0.8409957849374778,0.8816817823567935,0.06182428,0.0005093855870654,,no_avg,102228152,88--89--91--92,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--91--92,0.61182,0.5099579405187007,0.0250643448777496,0.6156950585795234,1.6320998759422711,0.8462245790489569,0.9006172160702146,698.93176,0.0005170985823497,,avg_logits,102228152,88--89--91--92,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--91--92,0.61218,0.5128315057668223,0.0338802745908498,0.6154022636552088,1.6424644811195468,0.8437750831718979,0.898019484845037,0.06182428,0.000463017320726,,avg_probs,102228152,88--89--91--92,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--86--87,0.5609199999999999,0.5670601140068724,0.0330486761077307,0.5653376152829508,1.890447519629984,0.8402240596162549,0.8785135110523337,0.058745965,0.0004769097577081,,no_avg,178196664,83--84--86--87,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--86--87,0.60436,0.517864975845942,0.0190310675211995,0.6083958734592482,1.6650592747134758,0.8451472521461494,0.8989670400260217,667.5988,0.0004848493263125,,avg_logits,178196664,83--84--86--87,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--86--87,0.60656,0.5230006361144761,0.05077704101637,0.6101831178281308,1.6745651321544717,0.8376641561546048,0.8939770629869483,0.058745965,0.0004328502982389,,avg_probs,178196664,83--84--86--87,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--80--81--82,0.00102,0.9990001092446548,3.300635095685719e-05,5.738548661374347e-06,6.907809924540519,0.4674169995011584,0.001188473013321,9.997607e-08,1.0059537924878016e-10,,no_avg,244403384,78--80--81--82,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--80--81--82,0.001,0.9990000342791584,1.5036948956549149e-05,1.9980818414322253e-06,6.907772436151505,0.4183741741741741,0.0008762353697091,0.100014895,2.5610463402769845e-11,,avg_logits,244403384,78--80--81--82,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--80--81--82,0.001,0.9990000342623708,1.5016809105873089e-05,1.9980818414322253e-06,6.907772427883148,0.4207137137137137,0.0008779433275815,9.997607e-08,2.5613317022887827e-11,,avg_probs,244403384,78--80--81--82,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--81--82,0.001025,0.999000109423898,2.8545557623729084e-05,5.160752504725502e-06,6.907810008339881,0.479192800506783,0.0012190605037811,1.00971974e-07,1.0267185365786523e-10,,no_avg,244403384,78--79--81--82,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--81--82,0.001,0.9990000336684672,1.6587251797318438e-05,3.4710142499709143e-06,6.9077721400260925,0.5195907907907908,0.0011530533076752,0.101040535,2.693133910325329e-11,,avg_logits,244403384,78--79--81--82,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--81--82,0.001,0.9990000336947544,1.6552792862057665e-05,3.479791215856856e-06,6.907772152786255,0.5171323323323322,0.0011529014571404,1.00971974e-07,2.694287501436854e-11,,avg_probs,244403384,78--79--81--82,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--90--92,0.57372,0.5559883325390391,0.0512438625796511,0.5775563088633398,1.847893139755414,0.8412418342242545,0.8829177427029187,0.06089108,0.0005126464093336,,no_avg,102228152,88--89--90--92,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--90--92,0.61482,0.5079617381081054,0.0269919675432145,0.6182856306903819,1.6237879704982263,0.8450190914928972,0.901080191647082,691.00446,0.0005205864435993,,avg_logits,102228152,88--89--90--92,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--90--92,0.61404,0.5103200221966171,0.0319126188921928,0.6170391382160973,1.6327253135468762,0.8442953440634353,0.8991730564041721,0.06089108,0.0004669781192205,,avg_probs,102228152,88--89--90--92,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--82,0.001015,0.9990001085815238,3.824395462870598e-05,3.0245960175414684e-06,6.907809599609376,0.507034840094371,0.0012493856412117,1.0085176e-07,1.0076373589684716e-10,,no_avg,244403384,78--79--80--82,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--82,0.0009,0.9990000329595136,0.0001133385658264,8.756135686701577e-06,6.907771777839661,0.5094175869393565,0.0008656117628696,0.100960635,2.512157842859964e-11,,avg_logits,244403384,78--79--80--82,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--82,0.0009,0.9990000329426668,0.0001133237810805,8.405145076817965e-06,6.907771768951416,0.5248430253895173,0.0008880063224405,1.0085176e-07,2.5124921240737838e-11,,avg_probs,244403384,78--79--80--82,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--90--91,0.572075,0.5583362188199086,0.0516667195912078,0.575997286889276,1.8589538126368388,0.8404141957767938,0.881701768603471,0.061900914,0.0005112274811835,,no_avg,102228152,88--89--90--91,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--90--91,0.613,0.5091752589382902,0.0255558140562474,0.6167365396812738,1.629313880290502,0.8457728172119159,0.9007012062903128,705.57007,0.0005194856785237,,avg_logits,102228152,88--89--90--91,4,hom,1,imagenet_c_fog_1,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--90--91,0.61392,0.5119105319014208,0.0335179303139448,0.6170242723295453,1.6403244946197812,0.8425040088728621,0.8979198237960099,0.061900914,0.0004648017929866,,avg_probs,102228152,88--89--90--91,4,hom,1,imagenet_c_fog_1,ood,,1
mobilenet_v2--resnet50-vtab-semi-rotation--squeezenet1_1--vgg16--37--51--66--71,0.432,0.7054201797940979,0.0465542742053487,0.4395528093800724,2.629525714541908,0.8167304679270095,0.7885093364504754,0.1032038377643523,0.0003497933048316,,no_avg,168700918,37--51--66--71,4,het,1,imagenet_c_fog_1,ood,,1
mobilenet_v2--resnet50-vtab-semi-rotation--squeezenet1_1--vgg16--37--51--66--71,0.51932,0.6145289142880193,0.0347538277801402,0.5280144153236399,2.093432186702836,0.8291005153928671,0.8531526537903509,12993.66389245056,0.0003615875302078,,avg_logits,168700918,37--51--66--71,4,het,1,imagenet_c_fog_1,ood,,1
mobilenet_v2--resnet50-vtab-semi-rotation--squeezenet1_1--vgg16--37--51--66--71,0.5246,0.6280173014708336,0.1122655929984734,0.5320690683687835,2.1491959306050896,0.8277564587944162,0.8490260087381373,0.1032038377643523,0.0002723904236393,,avg_probs,168700918,37--51--66--71,4,het,1,imagenet_c_fog_1,ood,,1
cafferesnet101--efficientnet-b0--resnet50_aws_baseline--deepens_resnet50--6--14--52--90,0.5848899999999999,0.5483732089984736,0.0659353215039827,0.5886130715631283,1.8456527639304,0.8390052008238064,0.8833455942114583,0.0793226028065785,0.0005062561121697,,no_avg,100951796,6--14--52--90,4,het,1,imagenet_c_fog_1,ood,,1
cafferesnet101--efficientnet-b0--resnet50_aws_baseline--deepens_resnet50--6--14--52--90,0.6368,0.4812649805237196,0.0238402398274487,0.6404370027791574,1.5186580833068013,0.8495558196060146,0.9112941441705584,1546.3415774427306,0.0005413090562237,,avg_logits,100951796,6--14--52--90,4,het,1,imagenet_c_fog_1,ood,,1
cafferesnet101--efficientnet-b0--resnet50_aws_baseline--deepens_resnet50--6--14--52--90,0.63686,0.4888812568935398,0.0592798326683922,0.6391440421692997,1.563309149633335,0.8447942622315707,0.9060015175531262,0.0793226028065785,0.0004467641413689,,avg_probs,100951796,6--14--52--90,4,het,1,imagenet_c_fog_1,ood,,1
dpn98--efficientnet-b4-autoaug--efficientnet-b6-autoaug--nasnetalarge--13--23--27--38,0.70887,0.4138299439371707,0.0960467943059003,0.7080881932853027,1.329541169856895,0.8430698607527364,0.9199096920649404,0.0669905062718943,0.0005301034862364,,no_avg,212706222,13--23--27--38,4,het,1,imagenet_c_fog_1,ood,,1
dpn98--efficientnet-b4-autoaug--efficientnet-b6-autoaug--nasnetalarge--13--23--27--38,0.75066,0.35128805835872,0.0357859174558014,0.7493157435917548,1.0551695366642515,0.8560870455282203,0.9443076985196528,710.6226351354899,0.0006029811017495,,avg_logits,212706222,13--23--27--38,4,het,1,imagenet_c_fog_1,ood,,1
dpn98--efficientnet-b4-autoaug--efficientnet-b6-autoaug--nasnetalarge--13--23--27--38,0.75134,0.36358706423325,0.1177061981804991,0.7490921028135787,1.1112896883532573,0.8558599420976931,0.9433908449357864,0.0669905062718943,0.00047986060219,,avg_probs,212706222,13--23--27--38,4,het,1,imagenet_c_fog_1,ood,,1
efficientnet-b2-autoaug--efficientnet-b4-autoaug--nasnetalarge--pnasnet5large--19--23--38--40,0.716135,0.4027581858226845,0.0721119891258801,0.7145876154605688,1.3082847552034222,0.8394180181985579,0.9188635308394588,0.0555659575427535,0.0005103842726306,,no_avg,203262452,19--23--38--40,4,het,1,imagenet_c_fog_1,ood,,1
efficientnet-b2-autoaug--efficientnet-b4-autoaug--nasnetalarge--pnasnet5large--19--23--38--40,0.75436,0.3537805220143748,0.0938594928159754,0.7524473244491388,1.1244242969011662,0.8582723268596194,0.9444361768347284,249.3294243563112,0.000509293329188,,avg_logits,203262452,19--23--38--40,4,het,1,imagenet_c_fog_1,ood,,1
efficientnet-b2-autoaug--efficientnet-b4-autoaug--nasnetalarge--pnasnet5large--19--23--38--40,0.75478,0.3610837176656193,0.1244711721731361,0.751983012753591,1.1279834013519985,0.857105228691628,0.944469065624754,0.0555659575427535,0.0004687097948923,,avg_probs,203262452,19--23--38--40,4,het,1,imagenet_c_fog_1,ood,,1
dpn98--efficientnet-b4-autoaug--inceptionresnetv2--pnasnet5large--13--23--32--40,0.7009299999999999,0.4195143609317442,0.0717528048298846,0.6998570483218636,1.3634423371726994,0.8451099014294898,0.9202260112844922,0.0697825692021326,0.0005519552861459,,no_avg,222813500,13--23--32--40,4,het,1,imagenet_c_fog_1,ood,,1
dpn98--efficientnet-b4-autoaug--inceptionresnetv2--pnasnet5large--13--23--32--40,0.74536,0.3569732120465981,0.0241768241218241,0.7438385008070983,1.0870379064196627,0.8582850064949733,0.9440488688904802,708.9295556191312,0.0006146204409501,,avg_logits,222813500,13--23--32--40,4,het,1,imagenet_c_fog_1,ood,,1
dpn98--efficientnet-b4-autoaug--inceptionresnetv2--pnasnet5large--13--23--32--40,0.7461,0.3671774340301447,0.1009819973035681,0.7437341294368585,1.1349871554899622,0.8567767884663635,0.9431867154667728,0.0697825692021326,0.0004996183580881,,avg_probs,222813500,13--23--32--40,4,het,1,imagenet_c_fog_1,ood,,1
mobilenet_v2--squeezenet1_0--squeezenet1_1--vgg13--37--65--66--69,0.4063299999999999,0.7261347020485074,0.020052241764491,0.415488572024516,2.747759401854819,0.8117390851066129,0.7667701134867291,0.08465971704603,0.0002933936902692,,no_avg,139036664,37--65--66--69,4,het,1,imagenet_c_fog_1,ood,,1
mobilenet_v2--squeezenet1_0--squeezenet1_1--vgg13--37--65--66--69,0.48922,0.6501443023307468,0.0571937384628542,0.5008966156202203,2.273873644829421,0.8237590957059897,0.8336426589481689,16942.786410621982,0.0003042061113619,,avg_logits,139036664,37--65--66--69,4,het,1,imagenet_c_fog_1,ood,,1
mobilenet_v2--squeezenet1_0--squeezenet1_1--vgg13--37--65--66--69,0.50482,0.6626399142639849,0.1355688342480492,0.5150170585619714,2.31442450509406,0.8148159709222514,0.8262879575626361,0.08465971704603,0.0002298989024847,,avg_probs,139036664,37--65--66--69,4,het,1,imagenet_c_fog_1,ood,,1
squeezenet1_0--vgg13--vgg13_bn--deepens_alexnet--65--69--70--79,0.3271849999999999,0.7708178379975483,0.0079682460727063,0.3325248268212197,3.643352533684736,0.7333222508280519,0.5945302017522902,0.1155919796664165,0.0002323184921027,,no_avg,328450872,65--69--70--79,4,het,1,imagenet_c_fog_1,ood,,1
