models,acc,brier,ece,f1,nll,CalROCauc,CalPRauc,EnsVar,ClsVar,model_scores,ensemble_avg_type,num_params,ensemble_group,ensemble_size,ensemble_type,seed,dataset,data_type,architecture,binning
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--81,0.001,0.9990000986432244,2.615638752467928e-05,4.020780970292511e-06,6.907804608356953,0.4623623623623624,0.0009280352583458,9.9776734e-08,9.939844260176134e-11,,no_avg,244403384,78--79--80--81,4,hom,1,imagenet_c_fog_5,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--81,0.001,0.9990000238039598,1.4242880046367624e-05,3.13263492772486e-06,6.907767192621231,0.454812012012012,0.0008743632867272,0.099845506,2.4556589400814843e-11,,avg_logits,244403384,78--79--80--81,4,hom,1,imagenet_c_fog_5,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--81,0.001,0.9990000238114896,1.4233450405299644e-05,3.242215164118941e-06,6.907767196655273,0.4588316316316316,0.0008771898553464,9.9776734e-08,2.4565885783922603e-11,,avg_probs,244403384,78--79--80--81,4,hom,1,imagenet_c_fog_5,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--86--87,0.200805,0.9509849950944276,0.1663391625179536,0.2317345338962627,4.608082121157695,0.7791016006708443,0.532908694521955,0.06646364,0.000234745308262,,no_avg,178196664,83--84--86--87,4,hom,1,imagenet_c_fog_5,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--86--87,0.2254,0.9131551837116624,0.122637620344311,0.2631414976744197,4.25177596488045,0.7871268085586034,0.5797735027526495,633.03406,0.0002186685596825,,avg_logits,178196664,83--84--86--87,4,hom,1,imagenet_c_fog_5,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--86--87,0.22944,0.9011372683014376,0.0878771276575327,0.2677060951475321,4.201180726599596,0.7799684690183117,0.5688098385938557,0.06646364,0.0001848975807661,,avg_probs,178196664,83--84--86--87,4,hom,1,imagenet_c_fog_5,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--80--81--82,0.00101,0.999000103144214,2.295838784426447e-05,4.558386565155669e-06,6.907806861600876,0.4789997199438999,0.0010441930135461,1.0000598e-07,1.0062031936819428e-10,,no_avg,244403384,78--80--81--82,4,hom,1,imagenet_c_fog_5,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--80--81--82,0.001,0.9990000281258886,1.502693723887203e-05,1.9980019980019986e-06,6.907769362058639,0.4761393393393393,0.0009320379676156,0.100043796,2.5612971812916108e-11,,avg_logits,244403384,78--80--81--82,4,hom,1,imagenet_c_fog_5,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--80--81--82,0.001,0.9990000281399334,1.5006680972874144e-05,1.9980019980019986e-06,6.90776937007904,0.4785115115115115,0.0009323016838506,1.0000598e-07,2.5615835841374942e-11,,avg_probs,244403384,78--80--81--82,4,hom,1,imagenet_c_fog_5,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--89--90--91--92,0.1973099999999999,0.955086795655584,0.1730385230252705,0.2238257913885339,4.646116956798532,0.7826450029635568,0.5364104339053113,0.06927653,0.0002371615701122,,no_avg,102228152,89--90--91--92,4,hom,1,imagenet_c_fog_5,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--89--90--91--92,0.22174,0.9166471255758138,0.1300091664436459,0.2550288041368904,4.281583276547677,0.7893719178650977,0.5826695774323516,668.7032,0.0002213594852946,,avg_logits,102228152,89--90--91--92,4,hom,1,imagenet_c_fog_5,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--89--90--91--92,0.22354,0.9031294004591162,0.0941502914510667,0.2564357062275215,4.2402407020513175,0.7886349679343307,0.5797211799919658,0.06927653,0.000185204175068,,avg_probs,102228152,89--90--91--92,4,hom,1,imagenet_c_fog_5,ood,,1
