models,acc,brier,ece,f1,nll,CalROCauc,CalPRauc,EnsVar,ClsVar,model_scores,ensemble_avg_type,num_params,ensemble_group,ensemble_size,ensemble_type,seed,dataset,data_type,architecture,binning
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--81,0.00099,0.999000100610242,3.606529253534973e-05,3.481331146353569e-06,6.907805590064525,0.4533921349440398,0.0009373334817309,9.945624e-08,9.907053302726787e-11,,no_avg,244403384,78--79--80--81,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--81,0.00096,0.99900002601381,5.417675614356992e-05,3.1013731945758007e-06,6.907768295860291,0.4849449221252402,0.0009572685918499,0.099526614,2.4469150664008232e-11,,avg_logits,244403384,78--79--80--81,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--80--81,0.00094,0.9990000260188142,7.416592951864007e-05,2.9037576546735364e-06,6.907768298215866,0.4867221997187995,0.0009500383424035,9.945624e-08,2.4478360310942196e-11,,avg_probs,244403384,78--79--80--81,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--89--90--91--92,0.4102249999999999,0.7351314041190798,0.0907040748448297,0.4266803447924738,2.824586790570238,0.8190577445546643,0.7814510840565706,0.072464764,0.0003740497631952,,no_avg,102228152,89--90--91--92,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--89--90--91--92,0.45324,0.682673848208477,0.0443479515289515,0.4721053507985482,2.507884456230417,0.8265029339256859,0.8156157295844099,721.70264,0.0003714809718076,,avg_logits,102228152,89--90--91--92,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--89--90--91--92,0.45462,0.6807828266538317,0.00910532723248,0.4723601225790496,2.505866243198738,0.8243419059508205,0.8123265924480972,0.072464764,0.0003197011828888,,avg_probs,102228152,89--90--91--92,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--79--80--81--82,0.00101,0.9990001072631888,4.288839313201608e-05,4.034500788252836e-06,6.907808909041882,0.4665483096888403,0.0010797572816046,9.980504e-08,1.0233933492309608e-10,,no_avg,244403384,79--80--81--82,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--79--80--81--82,0.00096,0.9990000323870152,5.599271874874828e-05,3.80554432982418e-06,6.907771488389969,0.4375314885623532,0.0007889402367978,0.09986435,2.748449558220845e-11,,avg_logits,244403384,79--80--81--82,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--79--80--81--82,0.00096,0.9990000324095633,5.596466265618799e-05,3.8057321549065504e-06,6.907771499938965,0.4395786621823617,0.0007891069473013,9.980504e-08,2.7485546824634888e-11,,avg_probs,244403384,79--80--81--82,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--81--82,0.001015,0.9990001073546416,3.850062130950392e-05,3.334452465469533e-06,6.9078089612054825,0.4891573372593379,0.0011772934737065,1.0066817e-07,1.0233168652729051e-10,,no_avg,244403384,78--79--81--82,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--81--82,0.00102,0.9990000318222364,3.479337766766621e-06,3.576820661609228e-06,6.907771207151413,0.526844440152485,0.0012188622773245,0.100736916,2.6819000145672508e-11,,avg_logits,244403384,78--79--81--82,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--79--81--82,0.00102,0.99900003185402,3.513680286705567e-06,3.5829433724170564e-06,6.907771223373413,0.5275818589863621,0.0012180604309096,1.0066817e-07,2.6830560342916408e-11,,avg_probs,244403384,78--79--81--82,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--90--92,0.412815,0.731760016157645,0.0893916960729844,0.4293616913059693,2.805649721263774,0.8201893407217031,0.7849725525335094,0.07095199,0.0003754261779249,,no_avg,102228152,88--89--90--92,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--90--92,0.45418,0.6804800479331454,0.044244076962322,0.4730615670193562,2.4964827461563583,0.8277692370671663,0.817676102633651,708.23773,0.0003730280441232,,avg_logits,102228152,88--89--90--92,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--90--92,0.4553,0.6785460255525676,0.0096256971491873,0.4731870641631252,2.4937337792042373,0.826837807821722,0.8155516746275644,0.07095199,0.0003222121740691,,avg_probs,102228152,88--89--90--92,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--85--86--87,0.41071,0.7288924782279806,0.0700015009379573,0.429098247015644,2.777505122352884,0.8191737180324075,0.7848385129518696,0.066638045,0.0003534823699737,,no_avg,178196664,83--85--86--87,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--85--86--87,0.45476,0.678893810018263,0.0268072225321829,0.4754072267882607,2.4793073810266155,0.8262722583892057,0.8190842710541064,664.2986,0.0003504751948639,,avg_logits,178196664,83--85--86--87,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--85--86--87,0.45694,0.6789139405495533,0.022724225032106,0.4764646169178637,2.47017620711859,0.8217679182466429,0.8135906023927355,0.066638045,0.000303503795294,,avg_probs,178196664,83--85--86--87,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--91--92,0.40869,0.7355858866593789,0.089505440945737,0.4253685856406337,2.827523424822462,0.820026780082324,0.7822395522951276,0.07154711,0.0003711998651851,,no_avg,102228152,88--89--91--92,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--91--92,0.45146,0.6838506477024683,0.0428617459049821,0.4705118869991928,2.5133975370427013,0.8269368772305933,0.8156241898943412,710.54047,0.0003685234114527,,avg_logits,102228152,88--89--91--92,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_resnet50--deepens_resnet50--deepens_resnet50--deepens_resnet50--88--89--91--92,0.45226,0.681925545523833,0.0090577528651058,0.4703846790117943,2.5126552895337704,0.825897772359228,0.8130360813651832,0.07154711,0.0003175395249854,,avg_probs,102228152,88--89--91--92,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--86--87,0.410055,0.7302388976020289,0.0715407570783794,0.4285211890805558,2.783490283332621,0.8185305862277585,0.7834405724791251,0.06676631,0.000354517949745,,no_avg,178196664,83--84--86--87,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--86--87,0.45306,0.6800668089164764,0.027387565819025,0.4736142614318722,2.485268118818432,0.8273302203709816,0.8185559225750212,666.3408,0.0003516125143505,,avg_logits,178196664,83--84--86--87,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--86--87,0.4544,0.6801641652080666,0.0196104140374064,0.4744004795453308,2.475951908695212,0.8228397748569865,0.8128448368270598,0.06676631,0.0003044432087335,,avg_probs,178196664,83--84--86--87,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--80--81--82,0.00101,0.9990001064313854,4.293004071339966e-05,4.034500788252836e-06,6.907808506915569,0.4746186800592107,0.0010890529117826,9.965592e-08,1.0026299235299516e-10,,no_avg,244403384,78--80--81--82,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--80--81--82,0.001,0.9990000316802664,1.4984911307692509e-05,1.9980419189194585e-06,6.907771139755249,0.450226026026026,0.0009253506931123,0.09969483,2.551828713615033e-11,,avg_logits,244403384,78--80--81--82,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet--78--80--81--82,0.001,0.9990000316895437,1.4964771457016447e-05,1.9980419189194585e-06,6.907771143922806,0.4516242242242242,0.0009246378279368,9.965592e-08,2.5521054020094525e-11,,avg_probs,244403384,78--80--81--82,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--84--85--86--87,0.41032,0.7291907848488621,0.0697753808464668,0.4288581563063172,2.781383683583216,0.8196304910039939,0.7849132830904512,0.06580732,0.0003528912784531,,no_avg,178196664,84--85--86--87,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--84--85--86--87,0.45398,0.6796012203578304,0.0261646450939774,0.4745179299285094,2.487281270490757,0.8265392512741365,0.8190076746651693,656.7449,0.0003499806916806,,avg_logits,178196664,84--85--86--87,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--84--85--86--87,0.45576,0.6798352920713245,0.0214788861015439,0.475354944359819,2.4783463178695184,0.8216780660209098,0.8131272450816018,0.06580732,0.0003035357804037,,avg_probs,178196664,84--85--86--87,4,hom,1,imagenet_c_fog_3,ood,,1
deepens_resnet101--deepens_resnet101--deepens_resnet101--deepens_resnet101--83--84--85--87,0.412865,0.7263623921019409,0.0669229846091754,0.431322157069224,2.7622723151265145,0.8194832164319322,0.7861256756573627,0.06441354,0.0003525816136971,,no_avg,178196664,83--84--85--87,4,hom,1,imagenet_c_fog_3,ood,,1
