,models,filepaths,labelpaths,acc,nll,brier,qunc,hyperparameters,seed,npz_flag,train_set,test_set,model_family
73,resnext29_2x64d,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/resnext29_2x64d/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.952,0.1538250096299819,0.07106794147623863,0.04880844,[None],2,cifar10,cifar10,cifar10,Neural Network
74,resnext29_2x64d,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/resnext29_2x64d/run_3.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9575,0.1409645095976284,0.06614368045117305,0.04315885,[None],3,cifar10,cifar10,cifar10,Neural Network
75,resnext29_32x4d,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/resnext29_32x4d/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9532,0.15113403691911073,0.07147275751273459,0.046518475,[None],0,cifar10,cifar10,cifar10,Neural Network
76,resnext29_32x4d,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/resnext29_32x4d/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9584,0.14294858237676694,0.06468671935675223,0.040611982,[None],1,cifar10,cifar10,cifar10,Neural Network
77,resnext29_32x4d,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/resnext29_32x4d/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9566,0.13764060032912556,0.06514460388413568,0.0442958,[None],2,cifar10,cifar10,cifar10,Neural Network
78,resnext29_32x4d,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/resnext29_32x4d/run_3.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9538,0.15071477903636013,0.06939585563729177,0.047303874,[None],3,cifar10,cifar10,cifar10,Neural Network
79,senet18,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/senet18/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9536,0.18639360995951795,0.07524858111048399,0.03021541,[None],0,cifar10,cifar10,cifar10,Neural Network
80,senet18,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/senet18/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9492,0.1978932761944853,0.08075974134689755,0.03096179,[None],1,cifar10,cifar10,cifar10,Neural Network
81,senet18,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/senet18/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9507,0.18786117617463766,0.07853960161832473,0.03080556,[None],2,cifar10,cifar10,cifar10,Neural Network
82,senet18,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/senet18/run_3.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9491,0.20682245848051717,0.08298280498085746,0.029880166,[None],3,cifar10,cifar10,cifar10,Neural Network
83,senet18,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/senet18/run_4.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9536,0.18737226079767758,0.07594367825860564,0.030622263,[None],4,cifar10,cifar10,cifar10,Neural Network
