,models,filepaths,labelpaths,acc,nll,brier,qunc,hyperparameters,seed,npz_flag,train_set,test_set,model_family
39,nasnetamobile,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_nasnetamobile.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.7408,1.1015911968106329,0.3589483480854742,0.3922728796253694,,0,,imagenet,imagenet,Neural Network
40,pnasnet5large,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_pnasnet5large.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.82736,0.8181448149689851,0.2604620871007233,0.36310476521059104,,0,,imagenet,imagenet,Neural Network
41,polynet,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_polynet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.80858,0.8505789070259769,0.28653232888107677,0.1516574918463143,,0,,imagenet,imagenet,Neural Network
42,resnet101,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet101.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.77374,0.9119464814674617,0.3201037007163929,0.2434119948803296,,0,,imagenet,imagenet,Neural Network
43,resnet152,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet152.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.78312,0.8765092732655507,0.3093004389977808,0.23015101289863638,,0,,imagenet,imagenet,Neural Network
44,resnet18,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet18.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.69758,1.2473143555506574,0.4111512571058415,0.37175963710508314,,0,,imagenet,imagenet,Neural Network
45,resnet34,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet34.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.73314,1.0813249874788873,0.36904429474053496,0.3142548520499244,,0,,imagenet,imagenet,Neural Network
46,resnet50,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet50.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.7613,0.9618354887141886,0.3353943340911378,0.2765435576438904,,0,,imagenet,imagenet,Neural Network
47,resnet50-vtab,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet50-vtab.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.75542,1.0042183732633887,0.3422358828004796,0.27484893798828125,,0,,imagenet,imagenet,Neural Network
48,resnet50-vtab-exemplar,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet50-vtab-exemplar.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.74104,1.044948470671982,0.3564898762163445,0.3386440873146057,,0,,imagenet,imagenet,Neural Network
