,models,filepaths,labelpaths,acc,nll,brier,qunc,hyperparameters,seed,npz_flag,train_set,test_set,model_family
0,FixPNASNet,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.5_on-disk/imagenet-c.fog.5_on-disk_|_FixPNASNet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.3945,3.457038504270262,0.8040614996735506,0.511181652545929,,0,,imagenet,imagenet_c_fog_5,Neural Network
1,FixResNet50,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.5_on-disk/imagenet-c.fog.5_on-disk_|_FixResNet50.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.24454,4.191889740162021,0.8968490403348665,0.7672774791717529,,0,,imagenet,imagenet_c_fog_5,Neural Network
2,FixResNet50_no_adaptation,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.5_on-disk/imagenet-c.fog.5_on-disk_|_FixResNet50_no_adaptation.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.2794,3.9859929021186464,0.868908983594363,0.7140170931816101,,0,,imagenet,imagenet_c_fog_5,Neural Network
3,FixResNet50_v2,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.5_on-disk/imagenet-c.fog.5_on-disk_|_FixResNet50_v2.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.24558,4.185331431760213,0.8958081555086306,0.7641145586967468,,0,,imagenet,imagenet_c_fog_5,Neural Network
4,alexnet,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.5_on-disk/imagenet-c.fog.5_on-disk_|_alexnet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.04842,6.204729919871667,1.0432911646111662,0.9004234326473054,,0,,imagenet,imagenet_c_fog_5,Neural Network
5,bninception,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.5_on-disk/imagenet-c.fog.5_on-disk_|_bninception.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.22778,4.886293199761769,0.9882422078843504,0.6409729895506766,,0,,imagenet,imagenet_c_fog_5,Neural Network
6,cafferesnet101,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.5_on-disk/imagenet-c.fog.5_on-disk_|_cafferesnet101.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.22002,4.867557252965388,0.9727168059094367,0.6773207461157642,,0,,imagenet,imagenet_c_fog_5,Neural Network
7,densenet121,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.5_on-disk/imagenet-c.fog.5_on-disk_|_densenet121.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.27194,3.986707046534884,0.8692883164356056,0.7345614668917684,,0,,imagenet,imagenet_c_fog_5,Neural Network
8,densenet161,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.5_on-disk/imagenet-c.fog.5_on-disk_|_densenet161.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.29666,4.348181348375347,0.9163877936847745,0.5947132401800275,,0,,imagenet,imagenet_c_fog_5,Neural Network
9,densenet169,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.5_on-disk/imagenet-c.fog.5_on-disk_|_densenet169.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.30008,4.081353082516355,0.8907065687550719,0.6253423687463235,,0,,imagenet,imagenet_c_fog_5,Neural Network
10,densenet201,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.5_on-disk/imagenet-c.fog.5_on-disk_|_densenet201.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.28036,4.011571322559827,0.8721842558697573,0.7045278819258621,,0,,imagenet,imagenet_c_fog_5,Neural Network
11,dpn131,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.5_on-disk/imagenet-c.fog.5_on-disk_|_dpn131.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.29882,4.099552194905627,0.871838111786788,0.6455846245747547,,0,,imagenet,imagenet_c_fog_5,Neural Network
12,dpn68,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.5_on-disk/imagenet-c.fog.5_on-disk_|_dpn68.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.20838,4.662061926050329,0.9290425461307065,0.7715238704477865,,0,,imagenet,imagenet_c_fog_5,Neural Network
13,dpn98,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.5_on-disk/imagenet-c.fog.5_on-disk_|_dpn98.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.28796,4.190223029269162,0.8916983438299914,0.6470503356412203,,0,,imagenet,imagenet_c_fog_5,Neural Network
14,efficientnet-b0,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.5_on-disk/imagenet-c.fog.5_on-disk_|_efficientnet-b0.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.17094,4.920018523355399,0.9689303119324085,0.8302538394927979,,0,,imagenet,imagenet_c_fog_5,Neural Network
