,models,filepaths,labelpaths,acc,nll,brier,qunc,hyperparameters,seed,npz_flag,train_set,test_set,model_family
0,FixPNASNet,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.5_on-disk/imagenet-c.gaussian_noise.5_on-disk_|_FixPNASNet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.18762,4.890133822726532,0.954507910831551,0.7609449028968811,,0,,imagenet,imagenet_c_gaussian_noise_5,Neural Network
1,FixResNet50,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.5_on-disk/imagenet-c.gaussian_noise.5_on-disk_|_FixResNet50.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.03342,6.4891326500657165,1.0138700974450516,0.9510907530784607,,0,,imagenet,imagenet_c_gaussian_noise_5,Neural Network
2,FixResNet50_no_adaptation,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.5_on-disk/imagenet-c.gaussian_noise.5_on-disk_|_FixResNet50_no_adaptation.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.08286,6.171168174501429,1.0494694493631211,0.8329281210899353,,0,,imagenet,imagenet_c_gaussian_noise_5,Neural Network
3,FixResNet50_v2,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.5_on-disk/imagenet-c.gaussian_noise.5_on-disk_|_FixResNet50_v2.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.03388,6.488117007044853,1.0149969985548848,0.9494156241416931,,0,,imagenet,imagenet_c_gaussian_noise_5,Neural Network
4,alexnet,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.5_on-disk/imagenet-c.gaussian_noise.5_on-disk_|_alexnet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.00378,8.822941148618437,1.0625585327185398,0.9316566833378492,,0,,imagenet,imagenet_c_gaussian_noise_5,Neural Network
5,bninception,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.5_on-disk/imagenet-c.gaussian_noise.5_on-disk_|_bninception.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.02158,8.763481392419003,1.249805098731644,0.7166409746265114,,0,,imagenet,imagenet_c_gaussian_noise_5,Neural Network
6,cafferesnet101,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.5_on-disk/imagenet-c.gaussian_noise.5_on-disk_|_cafferesnet101.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.06156,7.5078290520471,1.1485719785331465,0.7527749713352777,,0,,imagenet,imagenet_c_gaussian_noise_5,Neural Network
7,densenet121,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.5_on-disk/imagenet-c.gaussian_noise.5_on-disk_|_densenet121.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.0689,5.884268875787326,1.0170429198668156,0.9011405181824934,,0,,imagenet,imagenet_c_gaussian_noise_5,Neural Network
8,densenet161,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.5_on-disk/imagenet-c.gaussian_noise.5_on-disk_|_densenet161.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.15118,5.42592367121511,1.0125331232903303,0.7552201004290796,,0,,imagenet,imagenet_c_gaussian_noise_5,Neural Network
9,densenet169,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.5_on-disk/imagenet-c.gaussian_noise.5_on-disk_|_densenet169.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.0966,6.024976035693849,1.0573991613794018,0.7988576541967475,,0,,imagenet,imagenet_c_gaussian_noise_5,Neural Network
