,models,filepaths,labelpaths,acc,nll,brier,qunc,hyperparameters,seed,npz_flag,train_set,test_set,model_family
0,FixPNASNet,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.1_on-disk/imagenet-c.fog.1_on-disk_|_FixPNASNet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.73784,1.130176166011376,0.376256480060065,0.2404049187898636,,0,,imagenet,imagenet_c_fog_1,Neural Network
1,FixResNet50,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.1_on-disk/imagenet-c.fog.1_on-disk_|_FixResNet50.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.61186,1.6624500580202368,0.5172885975472125,0.4739464521408081,,0,,imagenet,imagenet_c_fog_1,Neural Network
2,FixResNet50_no_adaptation,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.1_on-disk/imagenet-c.fog.1_on-disk_|_FixResNet50_no_adaptation.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.64232,1.5306579500021518,0.4790338659587934,0.41180479526519775,,0,,imagenet,imagenet_c_fog_1,Neural Network
3,FixResNet50_v2,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.1_on-disk/imagenet-c.fog.1_on-disk_|_FixResNet50_v2.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.61056,1.664858735737651,0.5178564112135569,0.4695514440536499,,0,,imagenet,imagenet_c_fog_1,Neural Network
4,alexnet,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.1_on-disk/imagenet-c.fog.1_on-disk_|_alexnet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.2976,3.3743234792364563,0.8278602855233637,0.7909501088026191,,0,,imagenet,imagenet_c_fog_1,Neural Network
5,bninception,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.1_on-disk/imagenet-c.fog.1_on-disk_|_bninception.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.59408,1.8546316654742463,0.545067602811765,0.4118943663291345,,0,,imagenet,imagenet_c_fog_1,Neural Network
6,cafferesnet101,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.1_on-disk/imagenet-c.fog.1_on-disk_|_cafferesnet101.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.61002,1.7469888727267862,0.5229938801904273,0.4042700998259109,,0,,imagenet,imagenet_c_fog_1,Neural Network
7,densenet121,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.1_on-disk/imagenet-c.fog.1_on-disk_|_densenet121.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.62848,1.5641432825833097,0.49152642692008613,0.44972037716566127,,0,,imagenet,imagenet_c_fog_1,Neural Network
8,densenet161,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.1_on-disk/imagenet-c.fog.1_on-disk_|_densenet161.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.66786,1.4503270293327761,0.45323567986095303,0.3511677249157548,,0,,imagenet,imagenet_c_fog_1,Neural Network
9,densenet169,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.1_on-disk/imagenet-c.fog.1_on-disk_|_densenet169.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.65896,1.475032819908356,0.46325645896173695,0.37172003656213676,,0,,imagenet,imagenet_c_fog_1,Neural Network
