,models,filepaths,labelpaths,acc,nll,brier,qunc,hyperparameters,seed,npz_flag,train_set,test_set,model_family
0,FixPNASNet,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.1_on-disk/imagenet-c.gaussian_noise.1_on-disk_|_FixPNASNet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.72538,1.198749170615696,0.38632045097772033,0.2733606696128845,,0,,imagenet,imagenet_c_gaussian_noise_1,Neural Network
1,FixResNet50,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.1_on-disk/imagenet-c.gaussian_noise.1_on-disk_|_FixResNet50.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.57938,1.8658189483156638,0.5501629150802725,0.5297231078147888,,0,,imagenet,imagenet_c_gaussian_noise_1,Neural Network
2,FixResNet50_no_adaptation,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.1_on-disk/imagenet-c.gaussian_noise.1_on-disk_|_FixResNet50_no_adaptation.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.62958,1.6227914182228598,0.49464158194426644,0.4051586985588074,,0,,imagenet,imagenet_c_gaussian_noise_1,Neural Network
3,FixResNet50_v2,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.1_on-disk/imagenet-c.gaussian_noise.1_on-disk_|_FixResNet50_v2.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.5786,1.8658519832443052,0.5497854011323278,0.5254499316215515,,0,,imagenet,imagenet_c_gaussian_noise_1,Neural Network
4,alexnet,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.1_on-disk/imagenet-c.gaussian_noise.1_on-disk_|_alexnet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.30548,3.5131303367389886,0.8198518832404279,0.775721652015104,,0,,imagenet,imagenet_c_gaussian_noise_1,Neural Network
5,bninception,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.1_on-disk/imagenet-c.gaussian_noise.1_on-disk_|_bninception.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.55766,2.1567872214886283,0.5973454229014598,0.4050310121271917,,0,,imagenet,imagenet_c_gaussian_noise_1,Neural Network
6,cafferesnet101,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.1_on-disk/imagenet-c.gaussian_noise.1_on-disk_|_cafferesnet101.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.63194,1.6918229292803586,0.502398228965253,0.35441740638503244,,0,,imagenet,imagenet_c_gaussian_noise_1,Neural Network
7,densenet121,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.1_on-disk/imagenet-c.gaussian_noise.1_on-disk_|_densenet121.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.5974,1.7390918816413257,0.5252264231425566,0.4759015974419424,,0,,imagenet,imagenet_c_gaussian_noise_1,Neural Network
8,densenet161,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.1_on-disk/imagenet-c.gaussian_noise.1_on-disk_|_densenet161.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.65222,1.5424941523092097,0.4738250790387671,0.35575048807032333,,0,,imagenet,imagenet_c_gaussian_noise_1,Neural Network
9,densenet169,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.gaussian_noise.1_on-disk/imagenet-c.gaussian_noise.1_on-disk_|_densenet169.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.62548,1.6544980972203651,0.5014099697730066,0.3879173887448517,,0,,imagenet,imagenet_c_gaussian_noise_1,Neural Network
